Document,Topic_group
Issue reported to configure sql on the system on client machine.,ITO
User requested to install sql on the server on client machine.,ITO
Please upgrade vmware on the server in production.,ITO
Issue reported to install jira on the database in production.,ITO
Please install jira on the vm at the earliest.,ITO
Issue reported to install sql on the vm in production.,ITO
Kindly General query regarding office timings on client machine.,ITO
User requested to restart jira on the application at the earliest.,ITO
User requested to upgrade sap on the application as soon as possible.,ITO
Issue reported to upgrade vmware for testing.,ITO
User requested to backup vmware on the server as soon as possible.,ITO
Need help to sql server as soon as possible.,ITO
User requested to install vmware on the server for testing.,ITO
Issue reported to General query regarding office timings in production.,ITO
User requested to restart vmware for testing.,ITO
Issue reported to upgrade sql on the vm on client machine.,ITO
Kindly restart sql on the vm at the earliest.,ITO
